round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.4765559434890747,0.8323571681976318,0.5557118787084308,0.79973215,elu,128,0.2,10,300,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6191691530772618,0.7492856979370117,0.6941712562186377,0.718875,elu,32,0.3,10,300,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.6707126213482448,0.7565000057220459,0.9576465050833566,0.636125,relu,64,0.3,10,200,0,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4323806144509997,0.8426428437232971,0.4006068545069013,0.8570357,elu,128,0.1,10,300,2,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6877981634140015,0.7549999952316284,0.780170095035008,0.70339286,relu,128,0.3,10,100,0,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.6983223238672529,0.723714292049408,0.857956425172942,0.6502857,elu,32,0.2,10,100,1,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.6166478964260647,0.7469285726547241,0.6831276059150696,0.7318571,elu,64,0.1,10,100,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5460533634935106,0.770714282989502,0.6686963404927935,0.7301786,elu,128,0.3,10,300,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.5584557229450771,0.8109285831451416,0.6306891384805952,0.7829822,relu,64,0.1,10,200,0,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.596388573033469,0.7538571357727051,0.7246038295882089,0.7054286,elu,128,0.3,10,200,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.7362828232220241,0.7157142758369446,0.9194245790243148,0.6570179,elu,32,0.1,10,100,0,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.629664343561445,0.7378571629524231,0.6736739940047264,0.7209643,relu,32,0.1,10,100,1,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.7986230158805847,0.6664285659790039,0.8861070718765259,0.623875,relu,128,0.3,10,100,3,300,softmax,10,categorical_crossentropy,Nadam,brick
10,1.0387448023387365,0.5629285573959351,1.1506807962145125,0.531,elu,32,0.3,10,100,1,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.9092917622157506,0.682357132434845,1.2111094977855683,0.57282144,elu,32,0.3,10,300,0,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.434397944688797,0.852642834186554,0.4071884706020355,0.85414284,relu,64,0.1,10,300,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.4867767834493092,0.8315714001655579,0.5580776441054685,0.8127143,relu,32,0.1,10,300,2,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5943080795151847,0.7502142786979675,0.7047898258141109,0.7173036,relu,64,0.3,10,200,3,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.48253809884616305,0.8396428823471069,0.5410626025370189,0.8134286,elu,64,0.1,10,200,0,200,softmax,10,categorical_crossentropy,Adam,brick
