id,epoch,val_loss,val_acc,loss,acc
0x434b48638297d500,1,0.9188,0.7005,3.6635,0.6213
0x434b48638297d500,2,0.8766,0.6808,0.9771,0.6727
0x434b48638297d500,3,0.6935,0.7565,0.802,0.7011
0x434b48638297d500,4,0.5951,0.7786,0.727,0.721
0x434b48638297d500,5,0.5541,0.8036,0.6681,0.7434
0x434b48638297d500,6,0.587,0.7384,0.6533,0.7591
0x434b48638297d500,7,0.4967,0.8314,0.6034,0.7815
0x434b48638297d500,8,0.4765,0.836,0.5844,0.7923
0x434b48638297d500,9,0.4857,0.8218,0.5669,0.7998
0x434b48638297d500,10,0.4766,0.8324,0.5557,0.7997
0x53d68acfcf74596c,1,0.7485,0.7067,2.905,0.5549
0x53d68acfcf74596c,2,0.6945,0.7109,0.9396,0.6569
0x53d68acfcf74596c,3,0.6434,0.7414,0.8378,0.6746
0x53d68acfcf74596c,4,0.6292,0.7454,0.7781,0.6942
0x53d68acfcf74596c,5,0.605,0.7497,0.7439,0.7039
0x53d68acfcf74596c,6,0.5784,0.7436,0.735,0.7086
0x53d68acfcf74596c,7,0.5593,0.7613,0.722,0.7112
0x53d68acfcf74596c,8,0.5908,0.7536,0.7117,0.714
0x53d68acfcf74596c,9,0.5881,0.7433,0.7091,0.7131
0x53d68acfcf74596c,10,0.6192,0.7493,0.6942,0.7189
0x3306c52ead5d1d96,1,0.837,0.6799,2.6448,0.5797
0x3306c52ead5d1d96,2,0.8064,0.645,0.9992,0.6052
0x3306c52ead5d1d96,3,0.7085,0.7082,1.0162,0.6029
0x3306c52ead5d1d96,4,0.6717,0.7186,0.9769,0.6118
0x3306c52ead5d1d96,5,0.6823,0.7488,0.9511,0.6253
0x3306c52ead5d1d96,6,0.6533,0.7521,0.9338,0.6316
0x3306c52ead5d1d96,7,0.6639,0.7484,0.934,0.6362
0x3306c52ead5d1d96,8,0.674,0.7575,0.9241,0.6411
0x3306c52ead5d1d96,9,0.6556,0.7483,0.9171,0.6407
0x3306c52ead5d1d96,10,0.6707,0.7565,0.9576,0.6361
0x518a7239e3dae9ab,1,0.674,0.7536,2.5827,0.696
