ID,TITLE,COLLECTION_URL,DOWNLOAD_URL,HAS_PICTURE,DESCRIPTION,SEARCH_TAGS,OBJ_DATA,RELATED_WORKS
s0005V1962,The Potato Eaters,https://vangoghmuseum.nl/en/collection/s0005V1962,https://vangoghmuseum.nl/asset/download/s0005V1962,True,"{
    ""title"": ""The Potato Eaters"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Nuenen, April-May 1885"",
    ""details"": ""oil on canvas, 82 cm x 114 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0019V1962,Garden with Courting Couples: Square Saint-Pierre,https://vangoghmuseum.nl/en/collection/s0019V1962,https://vangoghmuseum.nl/asset/download/s0019V1962,True,"{
    ""title"": ""Garden with Courting Couples: Square Saint-Pierre"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Paris, May 1887"",
    ""details"": ""oil on canvas, 75.0 cm x 113.0 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0022V1962,Self-Portrait as a Painter,https://vangoghmuseum.nl/en/collection/s0022V1962,https://vangoghmuseum.nl/asset/download/s0022V1962,True,"{
    ""title"": ""Self-Portrait as a Painter"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Paris, December 1887-February 1888"",
    ""details"": ""oil on canvas, 65.1 cm x 50 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0027V1962,The Langlois Bridge,https://vangoghmuseum.nl/en/collection/s0027V1962,https://vangoghmuseum.nl/asset/download/s0027V1962,True,"{
    ""title"": ""The Langlois Bridge"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Arles, March 1888"",
    ""details"": ""oil on canvas, 59.6 cm x 73.6 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0029V1962,The Sower,https://vangoghmuseum.nl/en/collection/s0029V1962,https://vangoghmuseum.nl/asset/download/s0029V1962,True,"{
    ""title"": ""The Sower"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Arles, November 1888"",
    ""details"": ""oil on canvas, 32.5 cm x 40.3 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0031V1962,Sunflowers,https://vangoghmuseum.nl/en/collection/s0031V1962,https://vangoghmuseum.nl/asset/download/s0031V1962,True,"{
    ""title"": ""Sunflowers"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Arles, January 1889"",
    ""details"": ""oil on canvas, 95 cm x 73 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0032V1962,The Yellow House (The Street),https://vangoghmuseum.nl/en/collection/s0032V1962,https://vangoghmuseum.nl/asset/download/s0032V1962,True,"{
    ""title"": ""The Yellow House (The Street)"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Arles, September 1888"",
    ""details"": ""oil on canvas, 72 cm x 91.5 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0047V1962,The Bedroom,https://vangoghmuseum.nl/en/collection/s0047V1962,https://vangoghmuseum.nl/asset/download/s0047V1962,True,"{
    ""title"": ""The Bedroom"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Arles, October 1888"",
    ""details"": ""oil on canvas, 72.4 cm x 91.3 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0049V1962,Wheatfield with a Reaper,https://vangoghmuseum.nl/en/collection/s0049V1962,https://vangoghmuseum.nl/asset/download/s0049V1962,True,"{
    ""title"": ""Wheatfield with a Reaper"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Saint-Rémy-de-Provence, September 1889"",
    ""details"": ""oil on canvas, 73.2 cm x 92.7 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
s0050V1962,Irises,https://vangoghmuseum.nl/en/collection/s0050V1962,https://vangoghmuseum.nl/asset/download/s0050V1962,True,"{
    ""title"": ""Irises"",
    ""on-view"": ""None"",
    ""creator-info"": ""Vincent van Gogh (1853 - 1890), Saint-Rémy-de-Provence, May 1890"",
    ""details"": ""oil on canvas, 92.7 cm x 73.9 cm"",
    ""credit"": ""Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)""
}",,,
