ID,TITLE,COLLECTION_URL,DOWNLOAD_URL,DESCRIPTION,SEARCH_TAGS,OBJ_DATA,RELATED_WORKS,EXHIBITIONS,LITERATURE
s0004V1962r,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0004V1962r,,,,,,,
s0006V1962,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0006V1962,,,,,,,
s0010V1962,Portrait of an Old Woman,https://vangoghmuseum.nl/en/collection/s0010V1962,,,,,,,
s0056V1962,Torso of Venus,https://vangoghmuseum.nl/en/collection/s0056V1962,,,,,,,
s0058V1962,Woman with a Mourning Shawl,https://vangoghmuseum.nl/en/collection/s0058V1962,,,,,,,
s0059V1962,Head of a Prostitute,https://vangoghmuseum.nl/en/collection/s0059V1962,,,,,,,
s0061V1962,Portrait of an Old Man,https://vangoghmuseum.nl/en/collection/s0061V1962,,,,,,,
s0062V1962,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0062V1962,,,,,,,
s0068V1962r,Head of a Man,https://vangoghmuseum.nl/en/collection/s0068V1962r,,,,,,,
s0069V1962,Head of a Man,https://vangoghmuseum.nl/en/collection/s0069V1962,,,,,,,
s0072V1962,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0072V1962,,,,,,,
s0075V1962,Plaster Cast of a Woman's Torso,https://vangoghmuseum.nl/en/collection/s0075V1962,,,,,,,
s0084V1962,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0084V1962,,,,,,,
s0089V1962,Torso of Venus,https://vangoghmuseum.nl/en/collection/s0089V1962,,,,,,,
s0097V1962r,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0097V1962r,,,,,,,
s0101V1962,Torso of Venus,https://vangoghmuseum.nl/en/collection/s0101V1962,,,,,,,
s0102V1962,Kneeling Ecorché,https://vangoghmuseum.nl/en/collection/s0102V1962,,,,,,,
s0103V1962,Male Torso,https://vangoghmuseum.nl/en/collection/s0103V1962,,,,,,,
s0132V1962,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0132V1962,,,,,,,
s0139V1962,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0139V1962,,,,,,,
s0143V1962,Portrait of a Prostitute,https://vangoghmuseum.nl/en/collection/s0143V1962,,,,,,,
s0199V1962,Plaster Cast of a Woman's Torso,https://vangoghmuseum.nl/en/collection/s0199V1962,,,,,,,
s0200V1962,Plaster Cast of a Woman's Torso,https://vangoghmuseum.nl/en/collection/s0200V1962,,,,,,,
s0201V1962,Torso of Venus,https://vangoghmuseum.nl/en/collection/s0201V1962,,,,,,,
s0202V1962,Horse,https://vangoghmuseum.nl/en/collection/s0202V1962,,,,,,,
s0343V1966,Head of a Woman,https://vangoghmuseum.nl/en/collection/s0343V1966,,,,,,,
d0012V1962r,"Studies of a Seated Girl, L'Ecorché and Venus",https://vangoghmuseum.nl/en/collection/d0012V1962r,,,,,,,
d0012V1962v,Seated Girl and Venus,https://vangoghmuseum.nl/en/collection/d0012V1962v,,,,,,,
d0013V1962,Idol,https://vangoghmuseum.nl/en/collection/d0013V1962,,,,,,,
d0014V1962r,Idol,https://vangoghmuseum.nl/en/collection/d0014V1962r,,,,,,,
d0014V1962v,Idol,https://vangoghmuseum.nl/en/collection/d0014V1962v,,,,,,,
d0015V1962r,Idol,https://vangoghmuseum.nl/en/collection/d0015V1962r,,,,,,,
d0015V1962v,Idol,https://vangoghmuseum.nl/en/collection/d0015V1962v,,,,,,,
d0031V1962v,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0031V1962v,,,,,,,
d0034V1962r,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0034V1962r,,,,,,,
d0036V1962r,Venus in a Top Hat,https://vangoghmuseum.nl/en/collection/d0036V1962r,,,,,,,
d0036V1962v,A Woman's Legs,https://vangoghmuseum.nl/en/collection/d0036V1962v,,,,,,,
d0056V1962r,Arm,https://vangoghmuseum.nl/en/collection/d0056V1962r,,,,,,,
d0056V1962v,Arm,https://vangoghmuseum.nl/en/collection/d0056V1962v,,,,,,,
d0062V1962,Standing and Sitting Male Nude (after Bargue),https://vangoghmuseum.nl/en/collection/d0062V1962,,,,,,,
d0136V1962r,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0136V1962r,,,,,,,
d0136V1962v,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0136V1962v,,,,,,,
d0137V1962r,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0137V1962r,,,,,,,
d0137V1962v,Torso of Venus and a Landscape,https://vangoghmuseum.nl/en/collection/d0137V1962v,,,,,,,
d0138V1962r,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0138V1962r,,,,,,,
d0140V1962r,Torso of Venus,https://vangoghmuseum.nl/en/collection/d0140V1962r,,,,,,,
d0153V1970,Apartment Blocks and Miscellaneous Studies,https://vangoghmuseum.nl/en/collection/d0153V1970,,,,,,,
