round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.50637401672772,0.8415714502334595,0.6123869280133929,0.7774643,elu,128,0.3,10,200,0,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.6613138313293457,0.7249285578727722,0.7539059338399342,0.70426786,relu,32,0.2,10,300,3,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5949003465175629,0.7540714144706726,0.7220382278646742,0.7067143,elu,64,0.3,10,200,1,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.6586375897271293,0.7735714316368103,0.7770018205983298,0.70841074,elu,64,0.2,10,100,0,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.625689618246896,0.7402142882347107,0.8303528062275478,0.68123215,relu,128,0.3,10,300,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.595928302015577,0.7954999804496765,0.7205551575848035,0.7574286,elu,32,0.2,10,200,0,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.9008518764632089,0.6492142677307129,1.0541425330298289,0.5671607,relu,128,0.3,10,100,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.49843104471479144,0.8371428847312927,0.5088626779828753,0.8205,relu,64,0.1,10,300,0,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4459981737647738,0.8442142605781555,0.45925550021869793,0.84405357,elu,32,0.1,10,200,3,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.5805661654131753,0.7419999837875366,0.6551271960394723,0.73321426,elu,32,0.3,10,300,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.648504656110491,0.7329285740852356,0.7607353848644666,0.69775,elu,32,0.1,10,300,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5426114085742405,0.821142852306366,0.6729846011570522,0.75441074,relu,128,0.2,10,100,0,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6019463214874268,0.742642879486084,0.7391335548332759,0.7015536,relu,64,0.3,10,200,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.5810020850726536,0.7606428861618042,0.6893259660857064,0.71589285,relu,128,0.2,10,100,1,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.7774623814310346,0.6903571486473083,0.7458774311883108,0.6965,relu,64,0.2,10,300,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,1.047990344456264,0.6485000252723694,1.3259809955188206,0.48208928,relu,64,0.3,10,100,1,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.607720762695585,0.7721428275108337,0.7708251902205604,0.71583927,relu,32,0.2,10,300,3,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.7433416265760149,0.7273571491241455,0.9032298427990505,0.654,relu,64,0.3,10,100,2,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5571934817859104,0.826714277267456,0.6581921718461173,0.7639643,elu,128,0.3,10,300,0,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.40865288169043407,0.8497142791748047,0.4242693513461522,0.8488214,elu,64,0.1,10,200,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.3640637971333095,0.8705000281333923,0.38594967334611074,0.8618393,relu,128,0.1,10,300,3,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4064206996645246,0.8530714511871338,0.4282691226346152,0.8438393,relu,128,0.1,10,200,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6021365782873971,0.7570000290870667,0.6611945587907518,0.7285536,relu,64,0.2,10,200,1,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.8826622493607658,0.6265714168548584,1.0337665322848728,0.56955355,elu,128,0.3,10,100,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.639528935773032,0.7376428842544556,0.7124222974010876,0.72342855,elu,32,0.2,10,200,1,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.6768874160221645,0.7437857389450073,0.8717533371107918,0.6609107,relu,64,0.3,10,200,2,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6727716511317662,0.739214301109314,0.8803460447788238,0.66673213,relu,64,0.3,10,300,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.7772827471324376,0.6507142782211304,1.1807512681313923,0.581625,elu,32,0.3,10,300,1,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6305403036390033,0.7429285645484924,0.7119869879484176,0.71183926,elu,32,0.3,10,200,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.4291636551788875,0.8515714406967163,0.4833035691210202,0.8254107,elu,64,0.1,10,200,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5590563756397793,0.7830714583396912,0.5981054560797555,0.758375,elu,128,0.2,10,100,3,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.8692537185123989,0.6366428732872009,1.1275675364903042,0.5471607,elu,64,0.3,10,100,1,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.651317418370928,0.7315000295639038,0.8124115225246974,0.69060713,relu,64,0.3,10,300,3,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6116696874414171,0.7505000233650208,0.711348382805075,0.72189283,elu,32,0.1,10,300,2,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4714124024595533,0.8220000267028809,0.5305236179488045,0.8024821,relu,128,0.2,10,300,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.45834867562566484,0.8295000195503235,0.5224700708644731,0.8076964,relu,32,0.1,10,100,3,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.48739174549920217,0.8087857365608215,0.5928515973772321,0.7590357,elu,128,0.3,10,300,2,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.39539191923822675,0.8607142567634583,0.447810569865363,0.8379464,elu,128,0.1,10,100,3,100,softmax,10,categorical_crossentropy,Nadam,brick
