id,epoch,val_loss,val_acc,loss,acc
0x1e0b2a0ba923fac8,1,0.5972,0.7869,0.8608,0.7061
0x1e0b2a0ba923fac8,2,0.5673,0.7994,0.6528,0.7653
0x1e0b2a0ba923fac8,3,0.5507,0.8063,0.6234,0.7768
0x1e0b2a0ba923fac8,4,0.5467,0.8061,0.6089,0.7801
0x1e0b2a0ba923fac8,5,0.5417,0.8065,0.5992,0.7834
0x1e0b2a0ba923fac8,6,0.5315,0.8121,0.5985,0.7856
0x1e0b2a0ba923fac8,7,0.5294,0.8114,0.5916,0.7878
0x1e0b2a0ba923fac8,8,0.5261,0.8096,0.585,0.7902
0x1e0b2a0ba923fac8,9,0.5307,0.8076,0.5801,0.789
0x1e0b2a0ba923fac8,10,0.5199,0.8111,0.5768,0.7909
0x485e68878e0a1497,1,0.5756,0.7903,0.8133,0.7165
0x485e68878e0a1497,2,0.5371,0.8031,0.6011,0.7803
0x485e68878e0a1497,3,0.5241,0.8071,0.5684,0.7909
0x485e68878e0a1497,4,0.5097,0.8119,0.5542,0.7942
0x485e68878e0a1497,5,0.5076,0.8122,0.5436,0.7981
0x485e68878e0a1497,6,0.5005,0.8146,0.5352,0.8003
0x485e68878e0a1497,7,0.4991,0.8162,0.5295,0.8032
0x485e68878e0a1497,8,0.4935,0.8146,0.5249,0.8065
0x485e68878e0a1497,9,0.4907,0.818,0.521,0.807
0x485e68878e0a1497,10,0.4896,0.8185,0.515,0.8095
0x551fb9a5280316ec,1,0.5509,0.7964,0.742,0.7368
0x551fb9a5280316ec,2,0.543,0.7964,0.5956,0.7846
0x551fb9a5280316ec,3,0.5179,0.8084,0.568,0.79
0x551fb9a5280316ec,4,0.5072,0.8133,0.5582,0.7922
0x551fb9a5280316ec,5,0.5067,0.8131,0.5454,0.7985
0x551fb9a5280316ec,6,0.5088,0.8124,0.5417,0.7998
0x551fb9a5280316ec,7,0.4937,0.8175,0.5363,0.803
0x551fb9a5280316ec,8,0.4929,0.8164,0.5327,0.8029
0x551fb9a5280316ec,9,0.4955,0.8165,0.528,0.8042
0x551fb9a5280316ec,10,0.494,0.8157,0.525,0.805
0x1a82e31c3631c1fa,1,0.582,0.7959,0.8258,0.7247
0x1a82e31c3631c1fa,2,0.5468,0.8036,0.6127,0.7818
0x1a82e31c3631c1fa,3,0.5307,0.8069,0.5804,0.7888
0x1a82e31c3631c1fa,4,0.524,0.8083,0.5697,0.7922
0x1a82e31c3631c1fa,5,0.517,0.8114,0.5616,0.7945
0x1a82e31c3631c1fa,6,0.5099,0.812,0.5535,0.7975
