id,epoch,val_loss,val_acc,loss,acc
0x705268e08e9327c6,1,0.5428,0.7975,0.7629,0.7262
0x705268e08e9327c6,2,0.5153,0.8079,0.6055,0.7834
0x705268e08e9327c6,3,0.508,0.8096,0.5843,0.7911
0x705268e08e9327c6,4,0.5052,0.8091,0.5714,0.7954
0x705268e08e9327c6,5,0.4984,0.8114,0.5651,0.7967
0x705268e08e9327c6,6,0.4949,0.8125,0.5588,0.7997
0x705268e08e9327c6,7,0.4915,0.8131,0.5547,0.8011
0x705268e08e9327c6,8,0.4935,0.8178,0.5528,0.8017
0x705268e08e9327c6,9,0.49,0.8186,0.5487,0.8052
0x705268e08e9327c6,10,0.4942,0.8141,0.5463,0.8052
0x4c5e5ab9ea554ae2,1,0.5498,0.7985,0.8039,0.7168
0x4c5e5ab9ea554ae2,2,0.5179,0.8049,0.5999,0.7812
0x4c5e5ab9ea554ae2,3,0.5116,0.8078,0.5711,0.7914
0x4c5e5ab9ea554ae2,4,0.5017,0.8113,0.556,0.7968
0x4c5e5ab9ea554ae2,5,0.4959,0.8111,0.5434,0.8014
0x4c5e5ab9ea554ae2,6,0.494,0.8136,0.5392,0.8026
0x4c5e5ab9ea554ae2,7,0.4882,0.8144,0.5329,0.8044
0x4c5e5ab9ea554ae2,8,0.4852,0.8166,0.5284,0.8083
0x4c5e5ab9ea554ae2,9,0.485,0.8186,0.5239,0.809
0x4c5e5ab9ea554ae2,10,0.4899,0.8161,0.5203,0.8093
0x5edd0b6bb59b1e76,1,0.5633,0.7981,0.6935,0.7556
0x5edd0b6bb59b1e76,2,0.5341,0.803,0.5614,0.7925
0x5edd0b6bb59b1e76,3,0.5164,0.8089,0.5432,0.7978
0x5edd0b6bb59b1e76,4,0.5213,0.8052,0.5325,0.8016
0x5edd0b6bb59b1e76,5,0.5,0.8136,0.5236,0.8045
0x5edd0b6bb59b1e76,6,0.4995,0.8133,0.5185,0.8056
0x5edd0b6bb59b1e76,7,0.494,0.8153,0.5138,0.807
0x5edd0b6bb59b1e76,8,0.4916,0.8144,0.5092,0.8101
0x5edd0b6bb59b1e76,9,0.4916,0.8134,0.5071,0.81
0x5edd0b6bb59b1e76,10,0.4956,0.8134,0.5042,0.8112
0x451fd5554ae3f22,1,0.5521,0.7894,0.6754,0.7568
0x451fd5554ae3f22,2,0.5222,0.8029,0.5592,0.792
0x451fd5554ae3f22,3,0.514,0.8055,0.5383,0.8006
0x451fd5554ae3f22,4,0.5093,0.8091,0.5299,0.8011
0x451fd5554ae3f22,5,0.5035,0.8103,0.519,0.8065
0x451fd5554ae3f22,6,0.4944,0.8121,0.5162,0.8072
0x451fd5554ae3f22,7,0.4866,0.8149,0.5097,0.8099
0x451fd5554ae3f22,8,0.4917,0.8149,0.5042,0.8118
0x451fd5554ae3f22,9,0.4883,0.8136,0.5033,0.8123
0x451fd5554ae3f22,10,0.4812,0.8157,0.5,0.8136
0x5aff0128c89691e0,1,0.5954,0.7835,0.8837,0.6889
0x5aff0128c89691e0,2,0.5628,0.7939,0.6701,0.7573
0x5aff0128c89691e0,3,0.5541,0.7954,0.637,0.7681
0x5aff0128c89691e0,4,0.5412,0.7991,0.6182,0.7758
0x5aff0128c89691e0,5,0.5372,0.7971,0.6051,0.78
0x5aff0128c89691e0,6,0.5285,0.8018,0.5972,0.7829
0x5aff0128c89691e0,7,0.5288,0.804,0.5866,0.7848
0x5aff0128c89691e0,8,0.5227,0.8036,0.5844,0.7872
0x5aff0128c89691e0,9,0.5232,0.805,0.5787,0.7877
0x5aff0128c89691e0,10,0.5212,0.8049,0.5738,0.7902
0x5e199dcb6896a9,1,0.5744,0.7933,0.7054,0.7488
0x5e199dcb6896a9,2,0.5333,0.7981,0.5933,0.7835
0x5e199dcb6896a9,3,0.5225,0.8052,0.575,0.7869
0x5e199dcb6896a9,4,0.5173,0.8054,0.5621,0.7919
0x5e199dcb6896a9,5,0.5097,0.8053,0.5549,0.7962
0x5e199dcb6896a9,6,0.5083,0.8087,0.5495,0.7973
0x5e199dcb6896a9,7,0.5053,0.8106,0.5418,0.7998
0x5e199dcb6896a9,8,0.508,0.8076,0.5363,0.8018
0x5e199dcb6896a9,9,0.5004,0.8098,0.5336,0.8025
0x5e199dcb6896a9,10,0.504,0.8142,0.531,0.8039
0xf29546eceb67e32,1,0.6471,0.7618,1.2151,0.562
0xf29546eceb67e32,2,0.5823,0.7814,0.7651,0.7232
0xf29546eceb67e32,3,0.5564,0.7909,0.6947,0.7514
0xf29546eceb67e32,4,0.543,0.8029,0.662,0.7663
0xf29546eceb67e32,5,0.5281,0.8049,0.6437,0.7741
0xf29546eceb67e32,6,0.5203,0.8107,0.6304,0.7789
0xf29546eceb67e32,7,0.5182,0.8111,0.6156,0.7853
0xf29546eceb67e32,8,0.5151,0.8133,0.6082,0.7884
0xf29546eceb67e32,9,0.5157,0.8098,0.6036,0.7905
0xf29546eceb67e32,10,0.507,0.8131,0.5931,0.7946
0x4426b257f3bdc8aa,1,0.6336,0.7635,1.1506,0.581
0x4426b257f3bdc8aa,2,0.5881,0.7896,0.7529,0.7285
0x4426b257f3bdc8aa,3,0.5689,0.7949,0.6924,0.754
0x4426b257f3bdc8aa,4,0.5476,0.8034,0.6621,0.7689
0x4426b257f3bdc8aa,5,0.5378,0.8068,0.6422,0.7742
0x4426b257f3bdc8aa,6,0.5402,0.8047,0.6253,0.7793
0x4426b257f3bdc8aa,7,0.5283,0.8063,0.6212,0.7824
0x4426b257f3bdc8aa,8,0.5195,0.8098,0.6125,0.7874
0x4426b257f3bdc8aa,9,0.5151,0.8114,0.6047,0.79
0x4426b257f3bdc8aa,10,0.5138,0.8118,0.5997,0.7914
0x33e149873112fb03,1,0.522,0.8006,0.6477,0.7687
0x33e149873112fb03,2,0.4984,0.8124,0.5302,0.8025
0x33e149873112fb03,3,0.494,0.8124,0.5096,0.8098
0x33e149873112fb03,4,0.4815,0.8208,0.5004,0.8137
0x33e149873112fb03,5,0.4766,0.8201,0.4932,0.8159
0x33e149873112fb03,6,0.4707,0.8222,0.4881,0.8194
0x33e149873112fb03,7,0.4769,0.8228,0.4836,0.8192
0x33e149873112fb03,8,0.4722,0.8238,0.4797,0.821
0x33e149873112fb03,9,0.4644,0.8246,0.478,0.8209
0x33e149873112fb03,10,0.4688,0.8234,0.4736,0.8237
0x4582e31c83198902,1,0.6041,0.7764,1.104,0.6102
0x4582e31c83198902,2,0.5533,0.7959,0.6953,0.7523
0x4582e31c83198902,3,0.5329,0.8035,0.6388,0.7715
0x4582e31c83198902,4,0.5222,0.8082,0.6151,0.7819
0x4582e31c83198902,5,0.5161,0.8078,0.6003,0.7888
0x4582e31c83198902,6,0.5084,0.8108,0.5866,0.7905
0x4582e31c83198902,7,0.5047,0.8115,0.5771,0.7955
0x4582e31c83198902,8,0.5009,0.8132,0.5727,0.7975
0x4582e31c83198902,9,0.4959,0.8139,0.5647,0.7995
0x4582e31c83198902,10,0.5008,0.8137,0.5591,0.8032
0x361a2c9fc9d11ab8,1,0.546,0.7999,0.6656,0.7601
0x361a2c9fc9d11ab8,2,0.5191,0.8049,0.5625,0.7903
0x361a2c9fc9d11ab8,3,0.5125,0.809,0.5454,0.7975
0x361a2c9fc9d11ab8,4,0.512,0.8105,0.535,0.8006
0x361a2c9fc9d11ab8,5,0.5143,0.8037,0.5245,0.8051
0x361a2c9fc9d11ab8,6,0.492,0.8147,0.5177,0.8068
0x361a2c9fc9d11ab8,7,0.4915,0.8135,0.5112,0.8104
0x361a2c9fc9d11ab8,8,0.4847,0.8167,0.5074,0.8106
0x361a2c9fc9d11ab8,9,0.4857,0.8209,0.5059,0.8119
0x361a2c9fc9d11ab8,10,0.4868,0.8156,0.5013,0.8127
0x74926e5574ae699a,1,0.5724,0.7927,0.805,0.7148
0x74926e5574ae699a,2,0.5489,0.798,0.6364,0.7693
0x74926e5574ae699a,3,0.5463,0.7951,0.6145,0.7759
0x74926e5574ae699a,4,0.5335,0.7975,0.5971,0.7832
0x74926e5574ae699a,5,0.5272,0.8044,0.5874,0.7857
0x74926e5574ae699a,6,0.5279,0.8008,0.5813,0.7877
0x74926e5574ae699a,7,0.5262,0.804,0.5773,0.7886
0x74926e5574ae699a,8,0.5192,0.808,0.5739,0.7911
0x74926e5574ae699a,9,0.5137,0.8076,0.5724,0.7908
0x74926e5574ae699a,10,0.511,0.8051,0.564,0.7921
0x352fb8956961de24,1,0.5304,0.8045,0.7044,0.7492
0x352fb8956961de24,2,0.5032,0.8104,0.5547,0.7976
0x352fb8956961de24,3,0.4879,0.8163,0.5346,0.8058
0x352fb8956961de24,4,0.4846,0.8223,0.5233,0.8101
0x352fb8956961de24,5,0.4819,0.8233,0.5123,0.814
0x352fb8956961de24,6,0.4865,0.8191,0.5066,0.8152
0x352fb8956961de24,7,0.4818,0.821,0.5016,0.817
0x352fb8956961de24,8,0.4724,0.8236,0.4966,0.8188
0x352fb8956961de24,9,0.4816,0.8231,0.4944,0.8199
0x352fb8956961de24,10,0.4698,0.8279,0.4913,0.82
0x687b312f2610161b,1,0.5579,0.7984,0.8236,0.7087
0x687b312f2610161b,2,0.5361,0.8041,0.636,0.7753
0x687b312f2610161b,3,0.5243,0.8029,0.6112,0.7846
0x687b312f2610161b,4,0.5179,0.8064,0.5927,0.7892
0x687b312f2610161b,5,0.5048,0.8123,0.5873,0.7917
0x687b312f2610161b,6,0.5057,0.8107,0.5819,0.7946
0x687b312f2610161b,7,0.5091,0.8095,0.5744,0.7962
0x687b312f2610161b,8,0.5054,0.8131,0.5723,0.7992
0x687b312f2610161b,9,0.501,0.8131,0.5705,0.7981
0x687b312f2610161b,10,0.5017,0.8124,0.5656,0.7986
0x956ab3aca767641,1,0.5424,0.7986,0.8339,0.7049
0x956ab3aca767641,2,0.5182,0.8051,0.5859,0.7858
0x956ab3aca767641,3,0.5104,0.8154,0.5554,0.7972
0x956ab3aca767641,4,0.4973,0.8139,0.5396,0.8024
0x956ab3aca767641,5,0.4891,0.8181,0.5295,0.8069
0x956ab3aca767641,6,0.4898,0.8176,0.5213,0.8101
0x956ab3aca767641,7,0.4813,0.8208,0.5146,0.8111
0x956ab3aca767641,8,0.4834,0.8201,0.5104,0.8131
0x956ab3aca767641,9,0.4801,0.8186,0.5059,0.8142
0x956ab3aca767641,10,0.475,0.8232,0.5035,0.8164
0x2e9ab009a00023c,1,0.5652,0.7938,0.7461,0.735
