round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.5199395608220782,0.8111428618431091,0.5768175618307931,0.7909107,elu,64,0.3,10,20,1,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4895892553329468,0.8184999823570251,0.515011895929064,0.80953574,elu,128,0.1,10,60,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.49403022963660104,0.8157142996788025,0.5250396979195731,0.8049821,elu,128,0.2,10,60,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49805454042979647,0.8171428442001343,0.5382922212736947,0.8018214,elu,128,0.2,10,60,1,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49836710599490575,0.8165714144706726,0.512578969172069,0.81121427,relu,128,0.2,10,60,0,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.49532775218146186,0.8155714273452759,0.5266191615717751,0.80398214,elu,64,0.1,10,60,2,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.5844624028205871,0.7895714044570923,0.7537611042431422,0.72169644,relu,128,0.3,10,20,2,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5181342590195792,0.8102142810821533,0.5783945329870497,0.78983927,elu,64,0.3,10,40,1,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4730071423734937,0.8242142796516418,0.48568576426165444,0.82094646,relu,64,0.1,10,60,2,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.47431436112948827,0.8240714073181152,0.48262685932431904,0.8175893,relu,64,0.2,10,60,0,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.48282348643030437,0.8188571333885193,0.5227031175749642,0.80773216,relu,64,0.2,10,40,1,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.4925254841532026,0.8225714564323425,0.5264161133681025,0.80555356,relu,32,0.1,10,20,1,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4972015036855425,0.8130714297294617,0.5746829065595355,0.79323214,relu,128,0.3,10,60,1,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4953152525765555,0.8162857294082642,0.5254873619420187,0.807125,relu,128,0.3,10,40,0,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5001243176460266,0.81592857837677,0.5171804168394634,0.80975,relu,64,0.1,10,20,0,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.48252933328492303,0.8217856884002686,0.5294459812300546,0.80882144,relu,128,0.2,10,60,2,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.48417132735252383,0.8221428394317627,0.49702587052753994,0.81523216,relu,64,0.2,10,60,0,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5013482619013105,0.8137142658233643,0.5311814336436136,0.8033571,elu,64,0.2,10,60,3,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.45761096918582916,0.8320000171661377,0.46243869310617447,0.82625,relu,32,0.1,10,60,1,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4858796410901206,0.8237857222557068,0.5384589944992747,0.8048393,relu,32,0.2,10,40,1,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5343237296513149,0.80778568983078,0.6360533169337681,0.76530355,relu,128,0.3,10,20,1,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.4761262046269008,0.8221428394317627,0.5111961479442461,0.81357145,relu,32,0.2,10,40,2,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5260882022721427,0.8074285984039307,0.6044923529624939,0.78082144,elu,128,0.3,10,20,3,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.514764831508909,0.8132143020629883,0.5306689962659563,0.8052679,elu,32,0.2,10,40,0,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.4724245082310268,0.8255000114440918,0.48216165924072263,0.8199286,relu,64,0.1,10,60,1,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.5342693387440273,0.8049286007881165,0.6439702378000531,0.76430357,relu,128,0.3,10,20,1,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.4842994439942496,0.8209999799728394,0.4998582671710423,0.8139643,elu,128,0.1,10,60,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5107073225975036,0.8128571510314941,0.5644138114452362,0.7979643,elu,64,0.3,10,60,1,20,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5772781493663788,0.8081428408622742,0.7486245279823031,0.74133927,relu,32,0.3,10,40,3,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.5264560051304954,0.8101428747177124,0.6153523863043104,0.78473216,relu,64,0.3,10,40,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.4886989539010184,0.8197857141494751,0.519347252522196,0.808625,relu,64,0.1,10,20,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.48708962113516674,0.8201428651809692,0.5561619332177299,0.803125,relu,128,0.3,10,60,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5147707476615906,0.8094285726547241,0.58530870280947,0.7885893,relu,64,0.2,10,20,2,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.4967933074746813,0.8174285888671875,0.5392741233876773,0.8018214,elu,32,0.2,10,40,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5141543149266924,0.8087857365608215,0.5350634362016405,0.80214286,relu,64,0.1,10,20,0,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.5290883652142117,0.8088571429252625,0.5983575930595398,0.7876607,elu,128,0.3,10,40,1,20,softmax,10,categorical_crossentropy,Adam,brick
10,0.4938763179097857,0.8212857246398926,0.501514724101339,0.81314284,elu,64,0.1,10,60,0,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4836391693013055,0.8239285945892334,0.5374094046524592,0.8085,relu,32,0.2,10,60,3,40,softmax,10,categorical_crossentropy,Nadam,brick
